2910 832.467 566.619 396.483 281.524 200.692 144.639 111.682 96.1551 88.5824
2940 834.745 569.252 399.032 283.885 202.842 146.412 112.928 97.1058 89.5159
2970 836.992 571.856 401.557 286.227 204.978 148.186 114.182 98.0206 90.4256
3000 839.21 574.433 404.059 288.551 207.101 149.961 115.444 98.9078 91.3104
3030 841.398 576.983 406.539 290.857 209.21 151.736 116.714 99.7622 92.1691
3060 843.559 579.506 408.997 293.145 211.305 153.511 117.992 100.6 92.9993
3090 845.691 582.003 411.433 295.417 213.387 155.286 119.278 101.431 93.8007
3120 847.797 584.474 413.848 297.671 215.455 157.059 120.57 102.27 94.5714
3150 849.877 586.92 416.243 299.908 217.511 158.83 121.869 103.112 95.3089
3180 851.931 589.342 418.617 302.129 219.552 160.6 123.174 103.958 96.0144
3210 853.959 591.74 420.971 304.334 221.581 162.366 124.484 104.808 96.6872
3240 855.964 594.114 423.305 306.522 223.597 164.13 125.799 105.662 97.3237
3270 857.944 596.465 425.62 308.694 225.6 165.889 127.119 106.521 97.928
3300 859.901 598.794 427.915 310.851 227.59 167.645 128.443 107.384 98.5058
3330 861.835 601.1 430.192 312.992 229.567 169.396 129.771 108.251 99.047
3360 863.747 603.385 432.451 315.118 231.532 171.143 131.102 109.122 99.562
3390 865.637 605.648 434.691 317.228 233.484 172.883 132.436 109.998 100.074
3420 867.506 607.89 436.913 319.323 235.423 174.619 133.773 110.881 100.652
3450 869.353 610.112 439.117 321.404 237.35 176.348 135.113 111.773 101.271
3480 871.18 612.313 441.305 323.47 239.265 178.07 136.455 112.678 101.923
3510 872.988 614.495 443.475 325.521 241.167 179.786 137.8 113.596 102.602
3540 874.775 616.657 445.628 327.559 243.057 181.495 139.147 114.528 103.305
3570 876.543 618.8 447.764 329.582 244.935 183.196 140.498 115.475 104.031
3600 878.293 620.924 449.884 331.591 246.801 184.89 141.852 116.437 104.777
3630 880.024 623.029 451.988 333.586 248.655 186.577 143.21 117.414 105.542
3660 881.737 625.117 454.076 335.567 250.497 188.257 144.571 118.406 106.325
3690 883.432 627.186 456.149 337.535 252.328 189.929 145.937 119.412 107.126
3720 885.11 629.238 458.205 339.49 254.148 191.594 147.306 120.433 107.943
3750 886.771 631.273 460.247 341.431 255.956 193.251 148.68 121.468 108.777
3780 888.415 633.29 462.274 343.36 257.754 194.902 150.057 122.516 109.627
3810 890.043 635.291 464.285 345.275 259.541 196.545 151.44 123.579 110.492
3840 891.655 637.275 466.282 347.178 261.317 198.181 152.826 124.655 111.372
3870 893.251 639.243 468.265 349.069 263.083 199.81 154.217 125.745 112.268
3900 894.831 641.196 470.233 350.947 264.839 201.433 155.612 126.847 113.179
3930 896.397 643.132 472.188 352.813 266.585 203.049 157.012 127.963 114.107
3960 897.947 645.053 474.128 354.668 268.322 204.658 158.416 129.092 115.051
3990 899.483 646.959 476.055 356.511 270.049 206.262 159.824 130.233 116.012
4020 901.004 648.85 477.969 358.342 271.767 207.86 161.237 131.388 116.989
4050 902.512 650.726 479.869 360.162 273.477 209.452 162.654 132.555 117.981
4080 904.005 652.587 481.756 361.971 275.177 211.04 164.076 133.735 118.988
4110 905.485 654.434 483.631 363.77 276.87 212.622 165.502 134.926 120.009
4140 906.951 656.268 485.493 365.557 278.554 214.2 166.933 136.13 121.044
4170 908.405 658.087 487.342 367.335 280.231 215.773 168.367 137.346 122.092
4200 909.845 659.892 489.18 369.102 281.899 217.341 169.806 138.574 123.154
4230 911.273 661.684 491.005 370.859 283.56 218.906 171.25 139.813 124.228
4260 912.688 663.463 492.818 372.606 285.214 220.467 172.697 141.064 125.314
4290 914.091 665.229 494.62 374.344 286.861 222.024 174.148 142.325 126.413
4320 915.481 666.982 496.41 376.072 288.501 223.578 175.604 143.597 127.523
4350 916.86 668.722 498.189 377.791 290.135 225.128 177.063 144.88 128.645
4380 918.228 670.45 499.957 379.501 291.762 226.675 178.526 146.174 129.778
4410 919.583 672.166 501.715 381.202 293.382 228.219 179.993 147.477 130.922
4440 920.928 673.869 503.461 382.895 294.997 229.76 181.463 148.791 132.077
4470 922.261 675.561 505.197 384.579 296.605 231.298 182.936 150.114 133.242
4500 923.584 677.241 506.922 386.255 298.208 232.833 184.413 151.447 134.418
4530 924.895 678.91 508.638 387.923 299.805 234.366 185.892 152.789 135.603
4560 926.196 680.567 510.343 389.582 301.397 235.897 187.374 154.141 136.798
4590 927.487 682.213 512.039 391.234 302.983 237.424 188.859 155.501 138.003
4620 928.768 683.848 513.725 392.879 304.565 238.95 190.346 156.87 139.217
4650 930.038 685.472 515.402 394.516 306.141 240.473 191.835 158.247 140.439
4680 931.298 687.086 517.069 396.146 307.712 241.994 193.325 159.632 141.67
4710 932.549 688.689 518.727 397.768 309.278 243.513 194.817 161.025 142.91
4740 933.79 690.282 520.376 399.384 310.84 245.029 196.31 162.426 144.157
4770 935.022 691.864 522.016 400.993 312.397 246.544 197.804 163.834 145.413
4800 936.244 693.437 523.648 402.595 313.949 248.056 199.299 165.249 146.676
4830 937.457 695 525.271 404.19 315.498 249.567 200.793 166.671 147.946
4860 938.661 696.553 526.886 405.779 317.041 251.075 202.288 168.099 149.223
4890 939.856 698.097 528.493 407.362 318.581 252.581 203.782 169.533 150.506
4920 941.042 699.631 530.091 408.939 320.117 254.085 205.276 170.972 151.796
4950 942.22 701.157 531.682 410.509 321.648 255.587 206.769 172.417 153.091
4980 943.389 702.673 533.265 412.074 323.175 257.087 208.262 173.867 154.392
5010 944.55 704.18 534.84 413.633 324.699 258.584 209.754 175.321 155.699
5040 945.702 705.679 536.408 415.186 326.218 260.08 211.244 176.779 157.01
5070 946.847 707.168 537.968 416.733 327.734 261.573 212.734 178.241 158.325
5100 947.983 708.65 539.521 418.275 329.246 263.064 214.222 179.705 159.644
5130 949.111 710.123 541.067 419.811 330.754 264.553 215.709 181.172 160.967
5160 950.232 711.587 542.606 421.342 332.258 266.039 217.194 182.641 162.293
5190 951.345 713.044 544.138 422.868 333.759 267.523 218.677 184.112 163.621
5220 952.45 714.492 545.663 424.388 335.256 269.005 220.158 185.583 164.951
5250 953.548 715.933 547.182 425.903 336.749 270.484 221.637 187.054 166.283
5280 954.638 717.366 548.694 427.414 338.239 271.96 223.113 188.525 167.615
5310 955.721 718.791 550.199 428.919 339.725 273.434 224.586 189.994 168.948
5340 956.797 720.209 551.698 430.419 341.207 274.905 226.057 191.462 170.28
5370 957.866 721.619 553.191 431.915 342.686 276.373 227.524 192.926 171.611
5400 958.928 723.023 554.677 433.405 344.161 277.838 228.988 194.387 172.941
5430 959.983 724.418 556.158 434.891 345.632 279.3 230.448 195.844 174.267
5460 961.031 725.807 557.632 436.372 347.1 280.758 231.905 197.296 175.591
5490 962.073 727.189 559.101 437.849 348.564 282.214 233.357 198.741 176.911
5520 963.108 728.564 560.564 439.321 350.025 283.666 234.805 200.179 178.225
5550 964.136 729.932 562.02 440.788 351.481 285.114 236.248 201.61 179.534
5580 965.158 731.293 563.472 442.251 352.934 286.558 237.686 203.032 180.837
5610 966.174 732.648 564.917 443.709 354.383 287.999 239.119 204.446 182.132
5640 967.183 733.996 566.357 445.163 355.829 289.436 240.546 205.85 183.418
5670 968.186 735.338 567.792 446.612 357.27 290.869 241.968 207.245 184.695
5700 969.183 736.673 569.221 448.057 358.708 292.297 243.384 208.63 185.962
5730 970.174 738.003 570.645 449.497 360.141 293.721 244.794 210.005 187.218
5760 971.159 739.325 572.063 450.933 361.571 295.141 246.197 211.369 188.462
5790 972.138 740.642 573.476 452.364 362.996 296.556 247.593 212.722 189.693
5820 973.111 741.953 574.884 453.791 364.417 297.966 248.983 214.064 190.91
5850 974.078 743.258 576.287 455.213 365.834 299.371 250.365 215.394 192.113
5880 975.04 744.557 577.684 456.632 367.247 300.771 251.739 216.713 193.301
5910 975.996 745.85 579.077 458.045 368.655 302.165 253.106 218.019 194.472
